"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Linearized score of Nephrologists’ communication and caring","Star rating of Nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Quality of patient care star rating"
"442634","08","FMC LOUDON DIALYSIS","200 INTERCHANGE PARK DRIVE","","LENOIR CITY","TN","37772","LOUDON","(865) 986-5257","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442635","08","DCI HOLSTON RIVER CLINIC","5811 EAST GOV. JOHN SEVIER HWY","","KNOXVILLE","TN","37924","KNOX","(865) 523-3755","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442637","08","ISD RENAL INC","1331 UNION AVENUE, STE. 101","","MEMPHIS","TN","38104","SHELBY","(901) 274-2700","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","19","7","74","83","4","26","18","56","74","2","23","77","77","3","14","27","59","85","3","18","26","56","82","3","12","24","64","86","3","81","3"
"442638","08","DCI HOME TRAINING OF MIDDLE TN","1633 CHURCH STREET SUITE 160","","NASHVILLE","TN","37203","DAVIDSON","(615) 329-1812","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442639","08","TOTAL RENAL CARE, INC.","714 EAST HARPER STREET","","MARYVILLE","TN","37804","BLOUNT","(865) 379-1070","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","33","19","48","69","1","12","19","69","84","4","16","84","84","4","24","37","39","74","1","5","26","69","89","4","8","20","72","89","4","46","3"
"442640","08","RENAL CARE OF MEMPHIS NORTH","4913 RALEIGH COMMONS DRIVE, SUITE 100","","MEMPHIS","TN","38128","SHELBY","(901) 937-0650","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","21","12","67","81","3","32","19","49","70","1","23","77","77","3","13","20","67","87","4","20","36","44","78","2","16","30","54","82","2","58","3"
"442642","08","DIALYSIS ASSOC. OF EAST NASHVILLE","1001 RIVERSIDE DRIVE","","NASHVILLE","TN","37206","DAVIDSON","(615) 258-3288","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442643","08","FMC PORTLAND","923 SOUTH BROADWAY","","PORTLAND","TN","37148","SUMNER","(615) 323-7065","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442644","08","FMC DIALYSIS FORT SANDERS","1740 WESTERN AVENUE","","KNOXVILLE","TN","37921","KNOX","(865) 523-1516","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","13","16","71","86","4","14","18","68","83","4","13","87","87","5","6","20","74","90","4","7","23","70","88","4","6","15","79","92","4","59","4"
"442645","08","DIALYSIS ASSOC. OF MURFREESBORO-HT","1524 WILLIAMS DRIVE, SUITE 200","","MURFREESBORO","TN","37129","RUTHERFORD","(615) 904-6994","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442646","08","ISD RENAL INC","1166 MONROE AVENUE","","MEMPHIS","TN","38104","SHELBY","(901) 722-2012","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","23","15","62","78","3","22","19","59","77","3","16","84","84","4","17","44","39","80","2","10","38","52","84","3","5","31","64","88","3","49","3"
"442647","08","FMC MEMPHIS GERMANTOWN","7640 WOLF RIVER CIRCLE","","GERMANTOWN","TN","38138","SHELBY","(901) 757-4119","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442648","08","COLLIERVILLE DIALYSIS","791 WEST POPLAR AVENUE","SUITE 102","COLLIERVILLE","TN","38017","SHELBY","(901) 853-7809","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442649","08","MEMPHIS SOUTH DIALYSIS","1205 MARLIN ROAD","","MEMPHIS","TN","38116","SHELBY","(901) 346-6637","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","13","9","78","87","4","18","10","72","84","4","18","82","82","4","8","30","62","86","4","10","25","65","87","3","16","20","64","87","3","43","4"
"442650","08","ISD RENAL INC","4180 AUBURN ROAD","","MEMPHIS","TN","38116","SHELBY","(901) 332-8699","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442651","08","CHATTANOOGA KIDNEY CENTER","2118 STEIN DRIVE","","CHATTANOOGA","TN","37421","HAMILTON","(423) 648-4900","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","001","11","9","80","89","5","15","16","69","84","4","20","80","80","4","5","26","69","90","4","7","25","68","87","3","8","18","74","89","4","62","4"
"442653","08","FMC DIALYSIS ASSOC. OF SMYRNA","10519 CEDAR GROVE RD","","SMYRNA","TN","37167","RUTHERFORD","(615) 220-1739","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","35","21","44","65","1","16","23","61","80","3","18","82","82","4","42","18","40","71","1","19","16","65","84","3","17","20","63","85","3","38","3"
"442654","08","VANDERBILT DIALYSIS CLINIC EAST","20 RACHEL DR","","NASHVILLE","TN","37214","DAVIDSON","(615) 467-4070","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","13","12","75","87","4","16","14","70","84","4","21","79","79","3","13","18","69","88","4","4","35","61","88","4","3","20","77","93","5","36","4"
"442655","08","ISD RENAL INC","3420 ELVIS PRESLEY BLVD","","MEMPHIS","TN","38116","SHELBY","(901) 396-3794","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","18","18","64","81","3","23","21","56","76","3","21","79","79","3","11","40","49","84","3","14","52","34","78","2","16","41","43","80","1","65","3"
"442656","08","CROSSVILLE DIALYSIS CLINIC","121 DOOLEY STREET","","CROSSVILLE","TN","38555","CUMBERLAND","(931) 484-4500","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","41","13","46","61","1","27","22","51","72","2","25","75","75","2","36","29","35","68","1","24","25","51","78","2","28","23","49","78","1","39","2"
"442657","08","RCG UNION CITY","1117 SOUTH MILES","SUITE 6","UNION CITY","TN","38261","OBION","(731) 884-0914","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","26","14","60","74","2","12","15","73","86","5","11","89","89","5","20","37","43","76","1","5","16","79","91","4","6","10","84","92","4","40","4"
"442658","08","FMC DIALYSIS NEWPORT","119 HEDRICK STREET","","NEWPORT","TN","37821","COCKE","(423) 613-9000","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442659","08","FMC COLLIERVILLE","155 CRESCENT DRIVE","","COLLIERVILLE","TN","38017","SHELBY","(901) 861-8041","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","29","16","55","71","1","16","19","65","83","4","13","87","87","5","22","38","40","77","1","9","40","51","85","3","9","25","66","85","3","40","3"
"442660","08","U.S. RENAL CARE GALLERIA DIALYSIS","8592 RICKY BELL COVE","","MEMPHIS","TN","38133","SHELBY","(901) 380-5755","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/21/2017 - 01/17/2018","001","9","12","79","90","5","23","20","57","77","3","17","83","83","4","6","20","74","91","4","9","41","50","85","3","13","23","64","87","3","34","4"
"442661","08","DCI BEECH LAKE","870 W CHURCH STREET","","LEXINGTON","TN","38351","HENDERSON","(731) 968-2513","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442662","08","RCG MCMINNVILLE","1428 SPARTA STREET","","MCMINNVILLE","TN","37110","WARREN","(931) 474-5606","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442663","08","MCMINNVILLE DIALYSIS CLINIC","1524 SPARTA STREET","","MCMINNVILLE","TN","37110","WARREN","(931) 507-5700","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442664","08","RCG WINCHESTER","359 OLD MILL ROAD","","WINCHESTER","TN","37398","FRANKLIN","(931) 962-1356","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442665","08","MANCHESTER DIALYSIS CLINIC","367 INTERSTATE DRIVE","","MANCHESTER","TN","37355","COFFEE","(931) 728-7733","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/21/2017 - 01/17/2018","001","20","6","74","83","4","17","20","63","80","3","13","87","87","5","13","18","69","90","4","6","24","70","91","4","7","13","80","91","4","31","4"
"442666","08","DAVITA TENNESSEE VALLEY DIAL CNTR","107 WOODLAWN DR","SUITE 100","JOHNSON CITY","TN","37604","WASHINGTON","(423) 926-2976","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","7","12","81","91","5","13","14","73","86","5","16","84","84","4","2","20","78","93","5","4","18","78","93","5","2","17","81","93","5","41","5"
"442667","08","HARPETH DIALYSIS CLINIC","254 BEASLEY DRIVE","","DICKSON","TN","37055","DICKSON","(615) 441-8886","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442668","08","TN SMOKIE MOUNTAIN DIALYSIS","2320 KNOB CREEK ROAD","SUITE 408","JOHNSON CITY","TN","37604","WASHINGTON","(423) 232-1969","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442669","08","LIVINGSTON TN DIALYSIS","308 OAK STREET","","LIVINGSTON","TN","38570","OVERTON","(931) 403-5255","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442670","08","DAVITA DIALYSIS","2909 E MAGNOLIA AVENUE","","KNOXVILLE","TN","37914","KNOX","(865) 525-2232","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","34","10","56","68","1","21","9","70","81","4","16","84","84","4","38","15","47","70","1","13","13","74","85","3","14","17","69","84","2","30","3"
"442671","08","DAVITA SMYRNA","537 STONECREST PKWY","SUITE 110","SMYRNA","TN","37167","RUTHERFORD","(615) 220-2716","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442672","08","CLARKSVILLE NORTH DIALYSIS","3071 CLAY LEWIS ROAD","","CLARKSVILLE","TN","37040","MONTGOMERY","(931) 552-0644","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","29","17","54","72","1","31","12","57","71","2","17","83","83","4","22","28","50","81","2","29","14","57","77","1","26","11","63","75","1","31","2"
"442673","08","FMC NEW MARKET","1030 W US HWY 11E","","NEW MARKET","TN","37820","JEFFERSON","(865) 475-3186","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","25","14","61","75","2","26","24","50","71","2","26","74","74","2","23","23","54","79","2","24","13","63","78","2","23","19","58","81","2","37","2"
"442674","08","DAVITA MEMPHIS SOUTHEAST","1805 MORIAH WOODS BLVD","SUITE 101","MEMPHIS","TN","38117","SHELBY","(901) 685-3192","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","9","14","77","89","5","33","23","44","67","1","22","78","78","3","5","35","60","88","4","34","41","25","69","1","27","39","34","73","1","39","3"
"442675","08","BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.","193 BROWN JUNCTION ROAD","","CENTERVILLE","TN","37033","HICKMAN","(931) 729-0810","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442676","08","ROCKY TOP DIALYSIS","921 NEW HWY 68","","SWEETWATER","TN","37874","MONROE","(423) 337-5770","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442677","08","FMC LEWISBURG","1030 WAR EAGLE DRIVE","","LEWISBURG","TN","37091","MARSHALL","(931) 359-1940","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442678","08","MEMPHIS GALLERIA HOMETRAINING","9045 HWY 64","SUITE 102","LAKELAND","TN","38002","SHELBY","(901) 213-2955","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442679","08","CHATTANOOGA KIDNEY CENTER NORTH, LLC","649 MORRISON SPRINGS ROAD","","CHATTANOOGA","TN","37415","HAMILTON","(423) 468-1000","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","001","15","17","68","83","4","11","15","74","87","5","12","88","88","5","12","28","60","85","3","4","12","84","93","5","8","10","82","92","4","48","4"
"442680","08","FMC SEVIERVILLE","1210 FOX MEADOWS BLVD.","","SEVIERVILLE","TN","37862","SEVIER","(865) 774-0426","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442681","08","KNOXVILLE CENTRAL DIALYSIS","9141 CROSS PARK DRIVE","SUITE 102","KNOXVILLE","TN","37923","KNOX","(865) 531-4681","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442682","08","DAVITA MEMPHIS DOWNTOWN","2076 UNION AVENUE","","MEMPHIS","TN","38104","SHELBY","(901) 725-1169","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","26","15","59","75","2","31","10","59","73","2","18","82","82","4","25","31","44","77","1","26","19","55","76","1","31","24","45","73","1","34","2"
"442683","08","DAVITA SOMERVILLE","12475 HWY 64","","SOMERVILLE","TN","38068","FAYETTE","(901) 466-1919","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","28","20","52","73","1","37","23","40","64","1","20","80","80","4","16","42","42","78","2","24","37","39","76","1","20","34","46","80","1","36","2"
"442684","08","FMC ELIZABETHTON","1210 MILITIA COURT","","ELIZABETHTON","TN","37643","CARTER","(423) 542-8208","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442686","08","CLINCH RIVER DIALYSIS","702 NORTH MAIN STREET","","CLINTON","TN","37716","ANDERSON","(865) 457-1114","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442687","08","KIDNEY CENTER OF CLEVELAND","2253 CHAMBLISS AVENUE","SUITE 201","CLEVELAND","TN","37311","BRADLEY","(423) 535-9404","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","001","17","10","73","84","4","11","18","71","86","5","18","82","82","4","14","20","66","88","4","7","15","78","91","4","4","12","84","93","5","51","4"
"442688","08","FMC LAWRENCEBURG","1311 SOUTH LOCUST AVENUE","SUITE 104","LAWRENCEBURG","TN","38464","LAWRENCE","(931) 762-7194","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442689","08","DAVITA MILLINGTON","8510 WILKINSVILLE ROAD","SUITE 121","MILLINGTON","TN","38053","SHELBY","(901) 873-3302","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442690","08","FMC POWELL","732 E. EMORY RD","","KNOXVILLE","TN","37938","KNOX","(865) 947-1700","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","26","13","61","75","2","12","14","74","86","5","11","89","89","5","20","21","59","81","2","4","12","84","93","5","7","6","87","93","5","49","4"
"442691","08","FMC SKYWAY","783 NEW HIGHWAY 68","","SWEETWATER","TN","37874","MONROE","(423) 337-4534","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442692","08","CAPELVILLE DIALYSIS CENTER","7008 E SHELBY DR","","MEMPHIS","TN","38125","SHELBY","(901) 757-5001","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442693","08","FMC MILLINGTON","7840 CHURCH STREET","","MILLINGTON","TN","38053","SHELBY","(901) 873-0920","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"442694","08","SATELLITE HEALTHCARE OF POPLAR AVENUE LLC","1333 POPLAR AVE","","MEMPHIS","TN","38104","SHELBY","(901) 725-0482","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","001","16","10","74","85","4","20","17","63","80","3","23","77","77","3","13","25","62","86","4","16","28","56","83","3","12","21","67","86","3","73","3"
"442695","08","NRA-MEMPHIS (SOUTH)","4185 PACE RD","","MEMPHIS","TN","38116","SHELBY","(901) 345-8649","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","001","15","9","76","86","4","29","15","56","73","2","18","82","82","4","5","35","60","89","4","23","26","51","78","2","23","17","60","81","2","69","3"
"442696","08","RIPLEY DIALYSIS CENTER","854 HWY 51 S","","RIPLEY","TN","38063","LAUDERDALE","(731) 221-1883","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","22","16","62","76","2","28","16","56","73","2","15","85","85","4","17","28","55","79","2","11","33","56","83","3","17","15","68","84","2","44","3"
"442698","08","RAI GALLATIN","270 E MAIN STREET","SUITE 100","GALLATIN","TN","37066","SUMNER","(615) 452-0913","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
