"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS date2","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility"
"452579","14","US RENAL CARE TARRANT DIALYSIS FORT WORTH","501 COLLEGE AVENUE","SUITE 200","FORT WORTH","TX","76104","TARRANT","(817) 877-5907","Profit","Yes","US RENAL CARE, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","25","18","57","26","23","51","30","70","22","18","60","20","30","50","15","28","57"
"452580","14","US RENAL CARE TARRANT DIALYSIS ARLINGTON","203 W RANDOL MILL RD","","ARLINGTON","TX","76011","TARRANT","(817) 275-7787","Profit","Yes","US RENAL CARE, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","40","15","45","27","20","53","35","65","35","24","41","25","28","47","23","31","46"
"452582","14","FRESENIUS MEDICAL CARE ENNIS","711 B SOUTH CLAY STREET","","ENNIS","TX","75119","ELLIS","(972) 875-8469","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452583","14","HEB DIALYSIS CENTER","1809 FOREST RIDGE DRIVE","","BEDFORD","TX","76022","TARRANT","(817) 545-4509","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","4","10","86","7","17","76","11","89","0","10","90","0","7","93","0","9","91"
"452584","14","HOUSTON DIALYSIS","900 SOUTH LOOP WEST STE. 100","","HOUSTON","TX","77054","HARRIS","(713) 748-0942","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","12","14","74","26","18","56","32","68","10","18","72","16","22","62","12","33","55"
"452585","14","WESLACO DIALYSIS FACILITY","1614 E COMMERCIAL DRIVE","","WESLACO","TX","78599","HIDALGO","(956) 973-1970","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","21","60","19","25","56","30","70","18","30","52","17","31","52","15","31","54"
"452587","14","SAN ANTONIO WEST DIALYSIS","4530 CALLAGHAN ROAD","","SAN ANTONIO","TX","78228","BEXAR","(210) 431-9048","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","14","15","71","23","22","55","20","80","10","22","68","15","27","58","13","30","57"
"452592","14","SOUTH ARLINGTON DIALYSIS CENTER","3415 S COOPER STREET","SUITE 118","ARLINGTON","TX","76015","TARRANT","(817) 465-8585","Profit","Yes","AMERICAN RENAL ASSOCIATES","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","14","15","71","16","22","62","14","86","17","15","68","14","28","58","13","20","67"
"452594","14","FRESENIUS MEDICAL CARE SOUTHWEST FORT WORTH","4804 BRYANT IRVIN COURT","","FORT WORTH","TX","76107","TARRANT","(817) 738-8703","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452595","14","KIDNEY DISEASE CLINIC OF CENTRAL SAN ANTONIO","305 NORTH FRIO","","SAN ANTONIO","TX","78207","BEXAR","(210) 225-4733","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","4","10","86","10","19","71","21","79","4","12","84","4","23","73","2","21","77"
"452598","14","MT PLEASANT DIALYSIS CENTER","628 S JEFFERSON AVE","","MOUNT PLEASANT","TX","75455","TITUS","(903) 572-1757","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","9","12","79","22","21","57","23","77","16","21","63","8","35","57","5","23","72"
"452602","14","FRESENIUS MEDICAL CARE AUSTIN SOUTH","621 RADAM LN","","AUSTIN","TX","78745","TRAVIS","(512) 707-7601","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452604","14","WEST TEXAS DIALYSIS CENTER","501 BIRDWELL LANE","SUITE 10","BIG SPRING","TX","79720","HOWARD","(432) 267-2903","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452605","14","SOUTHWEST SAN ANTONIO DIALYSIS","1620 SOMERSET RD","","SAN ANTONIO","TX","78211","BEXAR","(210) 924-6684","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","17","65","20","19","61","25","75","12","14","74","8","23","69","9","18","73"
"452606","14","WEST TEXAS RENAL CARE CENTER INC","3501 EXECUTIVE DR","","SAN ANGELO","TX","76904","TOM GREEN","(325) 949-5081","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452609","14","CLEAR LAKE KIDNEY CENTER","1550 LIVE OAK","","WEBSTER","TX","77598","HARRIS","(281) 554-4900","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","19","63","28","20","52","25","75","22","15","63","22","27","51","18","29","53"
"452610","14","FRESENIUS MEDICAL CARE BELLMEAD","137 EASTGATE SHOPPING CTR","","BELLMEAD","TX","76705","MCLENNAN","(254) 867-1974","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","26","12","62","22","14","64","24","76","18","21","61","15","23","62","11","22","67"
"452611","14","PALESTINE DIAYSIS CENTER","2260  SOUTH SYCAMORE STREET","","PALESTINE","TX","75801","ANDERSON","(903) 723-7202","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452612","14","SAGEMONT DIALYSIS","10851 SCARSDALE BLVD STE 200","","HOUSTON","TX","77089","HARRIS","(281) 481-4577","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452615","14","KIDNEY TREATMENT CENTER SAN ANTONIO INC","803 CASTROVILLE","STE 401","SAN ANTONIO","TX","78237","BEXAR","(210) 435-4725","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","16","64","26","24","50","35","65","12","12","76","14","24","62","15","27","58"
"452616","14","ROSEDALE KIDNEY DISEASE CENTER","411 NORTH GENERAL MCMULLEN","","SAN ANTONIO","TX","78237","BEXAR","(210) 433-6991","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","14","17","69","17","24","59","22","78","13","17","70","10","33","57","14","23","63"
"452618","14","AMERI-TECH KIDNEY CENTER-ARLINGTON LLC","1138 S BOWEN ROAD","","ARLINGTON","TX","76013","TARRANT","(817) 265-7115","Profit","Yes","AMERICAN RENAL ASSOCIATES","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","24","20","56","30","22","48","30","70","21","22","57","25","28","47","25","23","52"
"452619","14","BAY AREA DIALYSIS CORPUS CHRISTI","1647 SOUTH ALAMEDA","","CORPUS CHRISTI","TX","78404","NUECES","(361) 888-7547","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","24","18","58","27","21","52","41","59","26","16","58","26","25","49","16","23","61"
"452620","14","BAY AREA DIALYSIS SERVICES AT KINGSVILLE","2213 SOUTH BRAHMA BLVD","","KINGSVILLE","TX","78363","KLEBERG","(361) 595-4178","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","27","20","53","29","21","50","32","68","28","18","54","22","33","45","27","29","44"
"452622","14","MIDLAND DIALYSIS","705 W WADLEY AVE","","MIDLAND","TX","79705","MIDLAND","(432) 686-1806","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","19","60","27","16","57","19","81","18","18","64","27","22","51","19","28","53"
"452623","14","STONE OAK DIALYSIS","731 CARNOUSTIE DRIVE #101","","SAN ANTONIO","TX","78258","BEXAR","(210) 403-2162","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","14","69","13","25","62","15","85","23","19","58","11","31","58","9","24","67"
"452624","14","MARSHALL DIALYSIS CENTER","1301 S WASHINGTON","","MARSHALL","TX","75670","HARRISON","(903) 935-1158","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452626","14","NEW BRAUNFELS KIDNEY DISEASE CLINIC","1561 IH 35 NORTH","","NEW BRAUNFELS","TX","78130","COMAL","(830) 606-0330","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452629","14","KILLEEN KIDNEY CENTER","726 S FORT HOOD ST","","KILLEEN","TX","76541","BELL","(254) 554-3366","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","20","61","17","29","54","26","74","20","25","55","4","45","51","12","36","52"
"452630","14","FRESENIUS MEDICAL CARE CALALLEN","4147 G FIVE POINTS RD","","CORPUS CHRISTI","TX","78410","NUECES","(361) 242-3300","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452631","14","BMA NORTHWEST BEXAR COUNTY","5131 MEDICAL DRIVE","SUITE 110","SAN ANTONIO","TX","78229","BEXAR","(210) 338-7742","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","14","70","27","20","53","24","76","18","16","66","25","25","50","24","18","58"
"452633","14","BAY AREA DIALYSIS SINTON","222 E SINTON BLVD","","SINTON","TX","78387","SAN PATRICIO","(361) 364-1968","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","12","19","69","11","17","72","23","77","9","16","75","10","17","73","5","15","80"
"452635","14","MAINLAND DIALYSIS","4201 GULF FREEWAY","","LA MARQUE","TX","77568","GALVESTON","(409) 938-1678","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","10","19","71","25","24","51","26","74","15","14","71","26","26","48","24","32","44"
"452636","14","SOUTH TEXAS DIALYSIS CENTER","1615 E EXPY 83","","MISSION","TX","78572","HIDALGO","(956) 581-2136","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","17","66","18","21","61","29","71","13","12","75","13","29","58","11","22","67"
"452637","14","US RENAL CARE TARRANT DIALYSIS SOUTH FORT WORTH","12201 BEAR PLAZA","","BURLESON","TX","76028","JOHNSON","(817) 293-1978","Profit","Yes","US RENAL CARE, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","26","18","56","18","24","58","27","73","30","22","48","15","28","57","15","19","66"
"452638","14","BMA SOUTHEAST SAN ANTONIO","4626 E SOUTHCROSS BLVD","","SAN ANTONIO","TX","78222","BEXAR","(210) 648-2323","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","15","17","68","21","24","55","23","77","15","21","64","17","25","58","13","28","59"
"452639","14","LUFKIN DIALYSIS CENTER","700 S JOHN REDDITT DRIVE","","LUFKIN","TX","75904","ANGELINA","(936) 634-2224","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","11","22","67","19","26","55","17","83","13","21","66","7","35","58","3","41","56"
"452640","14","FRESENIUS MEDICAL CARE EL PASO GATEWAY","10767 GATEWAY WEST","SUITE 600","EL PASO","TX","79935","EL PASO","(915) 599-2891","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452641","14","BRENHAM DIALYSIS","2815 HIGHWAY 36 SOUTH","","BRENHAM","TX","77833","WASHINGTON","(979) 251-7287","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452642","14","NORTHWEST KIDNEY CENTER","10985 NORTHWEST FREEWAY","","HOUSTON","TX","77092","HARRIS","(713) 812-1217","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","9","24","67","12","25","63","19","81","12","27","61","10","20","70","7","20","73"
"452644","14","CLEBURNE DIALYSIS CENTER","160 JACK BURTON RD","","CLEBURNE","TX","76031","JOHNSON","(817) 558-1593","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","21","58","9","19","72","16","84","16","26","58","4","16","80","4","11","85"
"452645","14","BAY AREA DIALYSIS SERVICES AT ARANSAS PASS","709 S COMMERCIAL","SUITE C-1","ARANSAS PASS","TX","78336","SAN PATRICIO","(361) 758-0029","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452646","14","KINGWOOD DIALYSIS CENTER","2300 GREEN OAK DRIVE","SUITE 500","KINGWOOD","TX","77339","HARRIS","(281) 359-4433","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","13","22","65","10","24","66","26","74","8","32","60","3","17","80","2","26","72"
"452647","14","CHANNELVIEW DIALYSIS","777 SHELDON ROAD","SUITE C","CHANNELVIEW","TX","77530","HARRIS","(281) 860-0600","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452648","14","RENAL CENTER OF LEWISVILLE","1600 WATERS RIDGE DRIVE","SUITE B","LEWISVILLE","TX","75057","DENTON","(972) 436-7211","Profit","Yes","RENAL VENTURES MANAGEMENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","10","14","76","11","20","69","18","82","8","12","80","12","17","71","8","11","81"
"452651","14","CENTRAL CITY DIALYSIS","1310 MURCHISON DRIVE","SUITE 200","EL PASO","TX","79902","EL PASO","(915) 533-0011","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","22","62","14","26","60","19","81","15","17","68","15","18","67","16","15","69"
"452654","14","DIALYSIS CARE OF MCALLEN","411 LINDBERG AVENUE","","MCALLEN","TX","78501","HIDALGO","(956) 687-6701","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","22","17","61","24","21","55","29","71","18","32","50","21","32","47","14","34","52"
"452655","14","AMERI-TECH KIDNEY CENTER-BEDFORD LLC","1600 CENTRAL DRIVE","SUITE 130","BEDFORD","TX","76022","TARRANT","(817) 540-6084","Profit","Yes","AMERICAN RENAL ASSOCIATES","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","15","68","24","21","55","29","71","14","20","66","22","22","56","21","17","62"
"452656","14","US RENAL CARE TARRANT DIALYSIS TARRANT COUNTY","501 COLLEGE AVENUE","SUITE 200","FORT WORTH","TX","76104","TARRANT","(817) 877-1515","Profit","Yes","US RENAL CARE, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452658","14","VICTORIA DIALYSIS CENTER","1405 VICTORIA STATION DRIVE","","VICTORIA","TX","77901","VICTORIA","(361) 576-9907","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","14","19","67","22","25","53","24","76","14","25","61","18","30","52","18","31","51"
"452660","14","FRESENIUS MEDICAL CARE HEREFORD","533 N 25 MILE AVE STE A","","HEREFORD","TX","79045","DEAF SMITH","(806) 364-4292","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452661","14","LIVINGSTON DIALYSIS CENTER","209 WEST PARK DRIVE","","LIVINGSTON","TX","77351","POLK","(936) 327-1108","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","23","60","14","18","68","13","87","18","18","64","3","16","81","3","12","85"
"452663","14","HUNTSVILLE DIALYSIS","521 IH 45 S","SUITE 20","HUNTSVILLE","TX","77340","WALKER","(936) 295-5500","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","13","19","68","26","21","53","24","76","10","10","80","25","22","53","22","25","53"
"452664","14","US RENAL CARE RIO GRANDE DIALYSIS","2787 PHARMACY RD","","RIO GRANDE CITY","TX","78582","STARR","(956) 487-2929","Profit","Yes","US RENAL CARE, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452665","14","DENISON DIALYSIS CENTER","1220 REBA MCENTIRE LANE","","DENISON","TX","75020","GRAYSON","(903) 465-4111","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","4","15","81","12","18","70","13","87","2","19","79","8","10","82","4","17","79"
"452666","14","FRESENIUS MEDICAL CARE RIO GRANDE CITY","2533 CENTRAL PALM DR","","RIO GRANDE CITY","TX","78582","STARR","(956) 487-6360","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","14","23","63","21","26","53","18","82","12","30","58","15","27","58","7","30","63"
"452667","14","OMNI DIALYSIS  CENTER","9350 KIRBY DRIVE   #110","","HOUSTON","TX","77054","HARRIS","(713) 665-4747","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","12","12","76","18","14","68","22","78","7","18","75","4","19","77","2","20","78"
"452668","14","FRESENIUS MEDICAL CARE WEST BEXAR","803 CASTROVILLE RD STE 410","","SAN ANTONIO","TX","78237","BEXAR","(210) 435-2100","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","16","68","23","15","62","22","78","20","11","69","21","7","72","9","20","71"
"452669","14","LIBERTY DAYTON DIALYSIS FACILITY","2331 N MAIN","","LIBERTY","TX","77575","LIBERTY","(936) 336-7200","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452671","14","NORTHWEST HOUSTON DIALYSIS CTR","8925 HWY 6 NORTH","SUITE 100","HOUSTON","TX","77095","HARRIS","(281) 550-0287","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","13","68","22","21","57","30","70","17","34","49","22","21","57","16","23","61"
"452672","14","WESLACO RENAL CENTER","910 UTAH","","WESLACO","TX","78596","HIDALGO","(956) 968-1895","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","18","64","14","23","63","19","81","20","21","59","16","13","71","14","18","68"
"452673","14","FRESENIUS MEDICAL CARE TRI CITY","1720 E HIGHWAY 97","","JOURDANTON","TX","78026","ATASCOSA","(830) 769-4125","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452674","14","FRESENIUS MEDICAL CARE CLIFFVIEW","1225 E CLIFF DRIVE","SUITE 1-A","EL PASO","TX","79902","EL PASO","(915) 532-6411","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452675","14","NORTHSTAR DIALYSIS CENTER","380 W LITTLE YORK","","HOUSTON","TX","77076","HARRIS","(281) 448-4506","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","14","68","30","20","50","32","68","22","18","60","28","37","35","28","30","42"
"452676","14","LONE STAR DIALYSIS","8560 MONROE","","HOUSTON","TX","77061","HARRIS","(713) 378-6094","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","14","16","70","25","25","50","21","79","14","20","66","19","40","41","20","30","50"
"452677","14","CENTRAL HOUSTON DIALYSIS","610 SOUTH  WAYSIDE","SUITE B","HOUSTON","TX","77011","HARRIS","(713) 928-8188","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"452678","14","NORTH HOUSTON DIALYSIS CENTER","8621 FULTON ST","","HOUSTON","TX","77022","HARRIS","(713) 699-3748","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","16","64","11","17","72","17","83","15","28","57","12","18","70","7","13","80"
"452679","14","BMA DALLAS SOUTH","1150 N BISHOP","SUITE 200","DALLAS","TX","75208","DALLAS","(214) 942-2900","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","25","15","60","25","21","54","26","74","25","19","56","12","35","53","14","19","67"
"452682","14","FARMERS BRANCH DIALYSIS CENTER","2280 SPRINGLAKE ROAD","SUITE 110","FARMERS BRANCH","TX","75234","DALLAS","(972) 488-1191","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","6","19","75","11","23","66","19","81","10","15","75","3","26","71","5","21","74"
"452684","14","BMA DALLAS CENTRAL","7610 MILITARY PARKWAY","","DALLAS","TX","75227","DALLAS","(214) 381-9494","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","16","66","17","20","63","21","79","23","28","49","16","32","52","13","32","55"
"452685","14","METRO EAST DIALYSIS CENTER","909 GROSS RD","SUITE 200","MESQUITE","TX","75149","DALLAS","(972) 288-1060","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","8","14","78","13","24","63","17","83","9","15","76","6","26","68","6","25","69"
"452686","14","COLLIN COUNTY DIALYSIS CENTER","3420 AVE K","SUITE 150","PLANO","TX","75074","COLLIN","(972) 423-1447","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","12","70","18","26","56","19","81","23","31","46","16","42","42","19","33","48"
"452687","14","SOUTH OAK CLIFF DIALYSIS CENTER","740 WYNNEWOOD SHOP CTR","","DALLAS","TX","75224","DALLAS","(214) 943-7065","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","22","15","63","31","18","51","24","76","23","28","49","26","26","48","25","22","53"
"452688","14","VILLAGE II DIALYSIS CENTER","6300 SAMUEL BLVD","SUITE 125","DALLAS","TX","75228","DALLAS","(214) 388-8690","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","22","10","68","22","14","64","21","79","22","20","58","11","24","65","11","23","66"
"452689","14","TRINITY DIALYSIS CENTER","1210 ALSTON","","FORT WORTH","TX","76104","TARRANT","(817) 338-1302","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","14","67","15","19","66","25","75","19","26","55","11","33","56","12","27","61"
"452690","14","TOWN GATE DIALYSIS CENTER","1901 NORTHWEST HWY","SUITE 210","GARLAND","TX","75041","DALLAS","(972) 278-2014","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","15","65","21","20","59","29","71","19","23","58","20","21","59","17","25","58"
